barcode,Name,Ensembl
Podo,Npr3,
Podo,Anxa3,
Podo,Pdlim2,
Podo,Gas1,
Podo,Tmed9,
Podo,Tmem150c,
Podo,Dpysl2,
Podo,Robo2,
Podo,Mylk,
Podo,Cd59b,
Podo,C1qtnf7,
Podo,Aebp1,
Podo,Col4a4,
Podo,Ddn,
Podo,Man1a2,
Podo,Cdc14a,
Podo,Itga3,
Podo,Pcolce,
Podo,Dag1,
Podo,Mgat5,
Podo,Slc48a1,
Podo,Mfge8,
Podo,Kcnq1ot1,
Podo,Zbtb8a,
Podo,Mob2,
Podo,Plce1,
Podo,Mtss1,
Podo,Fxyd6,
Podo,Snx31,
Podo,Tpm1,
Podo,Marveld1,
Podo,Pros1,
Podo,Mertk,
Podo,1810037I17Rik,
Podo,Actn4,
Podo,Arvcf,
Podo,Myo1d,
Podo,Mapt,
Podo,Rabac1,
Podo,Tjp1,
Podo,Tcf21,
Podo,Tns2,
Podo,Adm,
Podo,Wif1,
Podo,Cd2ap,
Podo,Parva,
Podo,C1qtnf1,
Podo,Tax1bp3,
Podo,Foxc2,
Podo,Optn,
Podo,Pard3b,
Podo,Micu1,
Podo,Sema3e,
Podo,St6galnac6,
Podo,Myo1e,
Podo,Sgip1,
Podo,Nebl,
Podo,Sh2d4a,
Podo,Tdrd5,
Podo,Pth1r,
Podo,Arl4d,
Podo,Arhgef18,
Podo,Iqgap2,
Podo,Col1a2,
Podo,Gsta4,
Podo,Ctgf,
Podo,Fgfr1,
Podo,Fat1,
Podo,Pxdc1,
Podo,Wipf3,
Podo,Ildr2,
Podo,Myof,
Podo,Foxd1,
Podo,Degs1,
Podo,Trib2,
Podo,Ak1,
Podo,Pde4b,
Podo,Ephx1,
Podo,Arhgef16,
Podo,Loxl2,
Podo,Col4a5,
Podo,Arhgap28,
Podo,Foxc1,
Podo,Mast4,
Podo,43358,
Podo,Rarres1,
Podo,Pttg1ip,
Podo,Mocs2,
Podo,Cpq,
Podo,Acpp,
Podo,Dnase1l1,
Podo,Top1mt,
Podo,Nsf,
Podo,Cttnbp2,
Podo,Lpin2,
Podo,Speg,
Podo,Ehd2,
Podo,Fzd2,
Podo,Tmem108,
Podo,Plekhh2,
Podo,Hoxc8,
Podo,Ssbp2,
Podo,B3galt2,
Podo,Ntrk3,
Podo,Nenf,
Podo,P3h2,
Podo,Pcnp,
Podo,Pdrg1,
Podo,Mxra7,
Podo,Emc7,
Podo,St6galnac3,
Podo,Ctnnal1,
Podo,Ptrf,
Podo,Wsb2,
Podo,Dach1,
Podo,Fndc3b,
Podo,Card10,
Podo,Rbpms,
Podo,Pkdcc,
Podo,Tmem159,
Podo,Plekhg1,
Podo,Psmb5,
Podo,Sulf1,
Podo,Ginm1,
Podo,Nab2,
Podo,Ptpn14,
Podo,Hspb8,
Podo,Tmem109,
Podo,Ggt5,
Podo,Arl2,
Podo,Aamp,
Podo,Myzap,
Podo,Kank1,
Podo,Adcy1,
Podo,Dock5,
Podo,Phactr4,
Podo,Creb3l2,
Podo,Cadm4,
Podo,Daam2,
Podo,Krcc1,
Podo,Abca2,
Podo,Yipf1,
Podo,Eml2,
Podo,Zcrb1,
Podo,Galnt10,
Podo,Derl2,
Podo,Hoxc6,
Podo,1110065P20Rik,
Podo,Vasn,
Podo,Gpc1,
Podo,Hist1h2bc,
Podo,Mvp,
Podo,Sqstm1,
Podo,Unc50,
Podo,Plxdc2,
Podo,Crb2,
Podo,R3hdml,
Podo,Crtc1,
Podo,Araf,
Podo,Snrnp27,
Podo,Sbds,
Podo,Per1,
Podo,Emc2,
Podo,Med24,
Podo,Sdc2,
Podo,Arhgef17,
Podo,Nradd,
Podo,Pde10a,
Podo,Fnbp1l,
Podo,Parp4,
Podo,2810433D01Rik,
Podo,Rilpl1,
Podo,Psmc3,
Podo,Uaca,
Podo,Pbx2,
Podo,Npepl1,
Podo,Lrrc49,
Podo,Tceb2,
Podo,Dcdc2a,
Podo,Psmc5,
Podo,Gm266,
Podo,Lage3,
Podo,Tubb2b,
Podo,Glod4,
Podo,Glo1,
Podo,Rps19bp1,
Podo,Manbal,
Podo,Ormdl2,
Podo,Ptprd,
Podo,Jtb,
Podo,Coro2b,
Podo,Commd6,
Podo,Nxph3,
Podo,Zbtb7c,
Podo,St3gal3,
Podo,Tomm20,
Podo,Mrc2,
Podo,Smo,
PT,Miox,
PT,Slc34a1,
PT,Akr1c21,
PT,Ttc36,
PT,Slc27a2,
PT,Acsm2,
PT,Ass1,
PT,Gpx1,
PT,Pck1,
PT,Lrp2,
PT,Cela1,
PT,Guca2b,
PT,Fut9,
PT,Hrsp12,
PT,Keg1,
PT,Khk,
PT,Calml4,
PT,Dnase1,
PT,Sord,
PT,Slc4a4,
PT,Cml1,
PT,Glyat,
PT,Pdzk1,
PT,Fbp1,
PT,Cda,
PT,Acy3,
PT,Errfi1,
PT,Kcnj15,
PT,Cyp2j5,
PT,Snhg11,
PT,Slc22a6,
PT,Akr1a1,
PT,Slc22a12,
PT,4931406C07Rik,
PT,Dnajc12,
PT,Cndp2,
PT,Slc47a1,
PT,G6pc,
PT,Nox4,
PT,Slc17a1,
PT,Slc13a3,
PT,Mep1a,
PT,Slc6a19,
PT,Bdh2,
PT,Tnfaip8,
PT,Scp2,
PT,Ugt3a2,
PT,Tmem174,
PT,Slc22a30,
PT,Pecr,
PT,Nat8,
PT,Acox1,
PT,Cyp2e1,
PT,Slc22a8,
PT,Folr1,
PT,Defb29,
PT,Hao2,
PT,Acaa1b,
PT,Hykk,
PT,Fth1,
PT,Ccdc107,
PT,Ces1f,
PT,Cat,
PT,Ugt2b38,
PT,Inmt,
PT,4833439L19Rik,
PT,Slc7a13,
PT,Nudt19,
PT,Fmo2,
